"","de","a","ligero","profundo","despierto","despertar","tparadormir","tparadespertar","sueñototal","ciudad"
"64",2019-03-30 22:11:00,2019-03-31,12840,15840,1680,2,0,0,28680,"Europe/Madrid"
"65",2019-03-31 21:03:00,2019-04-01,15000,15600,1500,1,360,360,30600,"Europe/Madrid"
"66",2019-04-01 21:46:00,2019-04-02,11460,13320,2460,3,360,0,24780,"Europe/Madrid"
"67",2019-04-02 21:27:00,2019-04-03,12900,13740,4440,6,0,120,26640,"Europe/Madrid"
"68",2019-04-03 22:46:00,2019-04-04,7380,14760,1860,2,360,120,22140,NA
"69",2019-04-05 21:57:00,2019-04-06,10680,13800,780,0,540,240,24480,"Europe/Amsterdam"
"70",2019-04-09 21:51:00,2019-04-10,13080,12720,2160,2,0,0,25800,"Europe/Madrid"
"71",2019-04-10 21:14:00,2019-04-11,16140,12360,1320,3,0,120,28500,"Europe/Madrid"
"72",2019-04-11 22:07:00,2019-04-12,12900,15060,1920,2,420,0,27960,"Europe/Madrid"
"73",2019-04-12 21:58:00,2019-04-13,7980,17640,1200,1,540,480,25620,"Europe/Madrid"
"74",2019-04-13 21:41:00,2019-04-14,14160,18900,960,1,360,120,33060,"Europe/Madrid"
"75",2019-04-14 20:54:00,2019-04-15,14760,15240,1260,1,0,720,30000,NA
"76",2019-04-15 20:44:00,2019-04-16,13020,13920,1200,1,360,240,26940,NA
"77",2019-04-16 20:51:00,2019-04-17,10800,20100,960,1,360,420,30900,NA
"78",2019-04-17 22:58:00,2019-04-18,9120,12600,780,1,0,180,21720,"Europe/Amsterdam"
"79",2019-04-18 20:32:00,2019-04-19,15599,20701,1800,2,540,540,36300,"Europe/Amsterdam"
"80",2019-04-19 22:39:00,2019-04-20,8460,18840,1380,1,360,420,27300,"Europe/Amsterdam"
"81",2019-04-20 22:18:00,2019-04-21,11220,15420,240,0,240,0,26640,NA
"82",2019-04-21 21:58:00,2019-04-22,7800,15540,960,0,240,720,23340,"Europe/Madrid"
"83",2019-04-22 20:21:00,2019-04-23,15180,16500,2340,3,480,180,31680,"Europe/Madrid"
"84",2019-04-23 21:49:00,2019-04-24,9120,16620,1380,1,0,240,25740,"Europe/Madrid"
"85",2019-04-24 21:48:00,2019-04-25,11100,15420,1320,2,180,0,26520,"Europe/Madrid"
"86",2019-04-25 22:41:00,2019-04-26,12420,12120,1020,1,0,0,24540,"Europe/Madrid"
"87",2019-04-26 21:19:00,2019-04-27,10620,18960,4320,3,360,780,29580,"Europe/Madrid"
"88",2019-04-27 22:06:00,2019-04-28,7260,20160,1080,1,480,0,27420,NA
"89",2019-05-05 21:33:00,2019-05-06,10860,15120,1920,1,300,720,25980,NA
"90",2019-05-06 22:56:00,2019-05-07,8460,14100,1500,3,0,0,22560,"Europe/Amsterdam"
"91",2019-05-07 22:20:00,2019-05-08,10319,10440,2461,2,361,0,20759,NA
"92",2019-05-08 21:16:00,2019-05-09,8040,15300,2400,3,480,540,23340,NA
"93",2019-05-09 22:16:00,2019-05-10,8640,14700,1200,0,300,900,23340,NA
"94",2019-05-13 21:44:00,2019-05-14,11100,16500,960,2,300,0,27600,"Europe/Madrid"
"95",2019-05-14 20:53:00,2019-05-15,14640,16380,3900,4,480,0,31020,"Europe/Amsterdam"
"96",2019-05-15 21:22:00,2019-05-16,11220,14220,3360,4,120,0,25440,NA
"97",2019-05-16 21:28:00,2019-05-17,10020,19560,1320,2,240,480,29580,"Europe/Madrid"
"98",2019-05-17 22:05:00,2019-05-18,11640,15240,840,1,0,180,26880,"Europe/Amsterdam"
"99",2019-05-18 19:41:00,2019-05-19,18720,16020,1020,1,0,60,34740,"Europe/Amsterdam"
"100",2019-05-19 19:21:00,2019-05-20,9000,14580,2760,3,300,0,23580,"Europe/Amsterdam"
"101",2019-05-20 21:09:00,2019-05-21,11100,16860,360,0,0,360,27960,"Europe/Amsterdam"
"102",2019-05-21 22:42:00,2019-05-22,11220,9600,420,0,360,60,20820,"Europe/Amsterdam"
"103",2019-05-22 21:33:00,2019-05-23,10739,15721,900,0,180,720,26460,"Europe/Amsterdam"
"104",2019-05-24 23:30:00,2019-05-25,15480,14760,1980,1,360,840,30240,NA
"105",2019-05-25 23:04:00,2019-05-26,10800,12361,1259,3,0,0,23161,"Europe/Amsterdam"
"106",2019-05-26 22:24:00,2019-05-27,12780,9360,360,0,360,0,22140,NA
"107",2019-05-27 20:24:00,2019-05-28,15239,13801,4560,4,1320,0,29040,NA
"108",2019-05-29 21:54:00,2019-05-30,5700,11160,780,2,0,0,16860,NA
"109",2019-05-31 22:50:00,2019-06-01,13440,12720,1320,1,180,660,26160,NA
"110",2019-06-01 22:33:00,2019-06-02,11760,12480,780,2,0,2,24240,NA
"111",2019-06-07 21:04:00,2019-06-08,13560,14040,1200,2,0,0,27600,NA
"112",2019-06-08 22:05:00,2019-06-09,16260,16200,900,1,300,60,32460,"Europe/Madrid"
"113",2019-06-09 23:02:00,2019-06-10,9420,11460,1080,2,0,0,20880,"Europe/Madrid"
"114",2019-06-10 20:39:00,2019-06-11,14220,12360,1680,3,300,0,26580,"Europe/Madrid"
"115",2019-06-11 21:12:00,2019-06-12,12480,18540,2880,1,1620,660,31020,"Europe/Madrid"
"116",2019-06-12 22:08:00,2019-06-13,12240,11220,2220,3,360,0,23460,NA
"117",2019-06-13 22:59:00,2019-06-14,11340,10740,360,0,360,0,22080,NA
"118",2019-06-14 23:14:00,2019-06-15,16680,13080,900,2,0,0,29760,NA
"119",2019-06-15 22:56:00,2019-06-16,15960,11760,960,2,0,360,27720,NA
"120",2019-06-17 21:04:00,2019-06-18,18300,10200,1200,2,360,60,28500,"Europe/Madrid"
"121",2019-06-18 23:04:00,2019-06-19,8640,10500,840,0,360,480,19140,"Europe/Madrid"
"122",2019-06-19 22:17:00,2019-06-20,11160,11880,3000,4,360,60,23040,"Europe/Madrid"
"123",2019-06-20 21:49:00,2019-06-21,10260,5760,1140,2,180,0,16020,NA
"124",2019-06-21 19:41:00,2019-06-22,11700,8640,120,0,120,0,20340,NA
"125",2019-06-22 04:53:00,2019-06-22,5160,6540,60,0,0,60,11700,NA
"126",2019-06-22 22:44:00,2019-06-23,12541,8159,180,0,180,0,20700,"Europe/Madrid"
"127",2019-06-23 23:12:00,2019-06-24,11760,9780,1080,3,60,0,21540,"Europe/Madrid"
"128",2019-06-26 02:08:00,2019-06-26,5340,3960,120,0,120,0,9300,NA
"129",2019-06-26 23:58:00,2019-06-27,7380,7620,300,2,0,0,15000,"Europe/Madrid"
"130",2019-06-27 23:01:00,2019-06-28,5520,4860,360,0,360,0,10380,"Europe/Madrid"
"131",2019-06-28 23:07:00,2019-06-29,6000,4380,0,0,0,0,10380,NA
"132",2019-07-12 23:48:00,2019-07-13,10140,12900,780,1,180,0,23040,NA
"133",2019-07-17 23:08:00,2019-07-18,9540,11460,1980,2,360,0,21000,"Europe/Amsterdam"
"134",2019-07-18 21:46:00,2019-07-19,10320,13740,2940,5,480,240,24060,NA
"135",2019-07-19 23:27:00,2019-07-20,9840,15480,1500,2,240,180,25320,NA
"136",2019-07-20 21:08:00,2019-07-21,3960,8220,660,1,60,240,12180,"Europe/Amsterdam"
"137",2019-07-21 02:46:00,2019-07-21,10679,4080,181,0,61,120,14759,"Europe/Amsterdam"
"138",2019-07-21 20:38:00,2019-07-22,12419,13980,4381,5,781,0,26399,NA
"139",2019-07-22 22:46:00,2019-07-23,8700,14340,120,0,0,120,23040,"Europe/Amsterdam"
"140",2019-07-23 22:26:00,2019-07-24,13800,14220,1080,0,840,240,28020,"Europe/Amsterdam"
"141",2019-07-24 23:03:00,2019-07-25,12480,11220,2220,4,360,0,23700,NA
"142",2019-07-25 23:05:00,2019-07-26,14160,12000,2640,5,0,180,26160,"Europe/Amsterdam"
"143",2019-07-26 22:02:00,2019-07-27,14700,14460,1620,3,60,0,29160,NA
"144",2019-07-27 22:26:00,2019-07-28,9840,14460,600,0,180,420,24300,NA
"145",2019-07-28 23:01:00,2019-07-29,12180,9540,1320,2,360,60,21720,"Europe/Amsterdam"
"146",2019-07-30 21:09:00,2019-07-31,12780,18420,900,0,360,540,31200,NA
"147",2019-07-31 21:51:00,2019-08-01,13020,14940,960,2,60,180,27960,NA
"148",2019-08-01 23:13:00,2019-08-02,13380,11640,1200,2,0,0,25020,NA
"149",2019-08-02 22:33:00,2019-08-03,15540,14460,1200,0,420,780,30000,NA
"150",2019-08-03 23:19:00,2019-08-04,15240,9960,420,0,360,60,25200,NA
"151",2019-08-04 21:06:00,2019-08-05,18180,15060,1620,2,0,120,33240,NA
"152",2019-08-05 21:44:00,2019-08-06,12000,12480,2040,2,60,240,24480,NA
"153",2019-08-09 23:46:00,2019-08-10,10140,11040,900,1,360,0,21180,"Europe/Madrid"
"154",2019-08-10 22:14:00,2019-08-11,9840,15420,2220,2,360,0,25260,NA
"155",2019-08-11 22:02:00,2019-08-12,18180,15120,1020,3,360,120,33300,"Europe/Madrid"
